iteration,timesteps,mean_cost,std_cost
500,128000,1322334.33,9035.15
1000,256000,1020596.76,4029.17
1500,384000,593922.69,7385.46
2000,512000,1324731.78,114991.61
2500,640000,1356618.39,32790.03
3000,768000,160884.96,33147.80
3500,896000,84605.99,2424.80
4000,1024000,10638.37,263.07
4500,1152000,8395.38,201.44
5000,1280000,5536.29,175.79
5500,1408000,4386.95,162.92
6000,1536000,3144.35,149.36
6500,1664000,3682.57,393.49
7000,1792000,3013.48,136.96
7500,1920000,4709.67,542.30
8000,2048000,2974.28,159.67
8500,2176000,2797.58,227.93
9000,2304000,23217.61,1878.80
9500,2432000,8359.02,3684.81
10000,2560000,4214.81,145.59
10500,2688000,3250.31,251.15
11000,2816000,3228.89,159.56
11500,2944000,3063.14,366.22
12000,3072000,2758.40,216.61
12500,3200000,3024.27,136.84
13000,3328000,3098.28,297.83
13500,3456000,3277.98,158.51
14000,3584000,3197.14,227.54
14500,3712000,2893.65,178.55
15000,3840000,3821.83,332.55
15500,3968000,2853.88,210.43
16000,4096000,2750.21,221.90
16500,4224000,14777.41,985.24
17000,4352000,4630.45,525.80
17500,4480000,9587.00,1781.04
18000,4608000,3003.24,236.99
18500,4736000,2901.01,299.29
19000,4864000,2829.59,173.70
19500,4992000,2738.03,266.95
20000,5120000,39357.26,2797.94
20500,5248000,4162.37,592.82
21000,5376000,3018.27,196.43
21500,5504000,7392.92,1901.68
22000,5632000,5450.95,1051.98
22500,5760000,3162.24,237.49
23000,5888000,3911.20,714.70
23500,6016000,2861.44,219.93
24000,6144000,3602.58,357.75
24500,6272000,3213.12,398.59
25000,6400000,4003.28,850.89
25500,6528000,2816.05,214.91
26000,6656000,2942.95,319.45
26500,6784000,2807.65,271.85
27000,6912000,3036.61,198.04
27500,7040000,2901.32,178.05
28000,7168000,2946.53,205.85
28500,7296000,3044.22,154.16
29000,7424000,3241.95,374.61
29500,7552000,2714.54,304.41
30000,7680000,2709.16,235.24
30500,7808000,2871.69,260.18
31000,7936000,3132.17,385.68
31500,8064000,2872.11,198.41
32000,8192000,2722.39,260.85
32500,8320000,2711.04,212.60
33000,8448000,2760.80,270.23
33500,8576000,2742.56,263.67
34000,8704000,2835.26,210.32
34500,8832000,2901.23,318.30
35000,8960000,2926.75,221.45
35500,9088000,2785.30,146.29
36000,9216000,3022.81,276.60
36500,9344000,3313.46,447.39
37000,9472000,3109.12,306.48
37500,9600000,3211.59,261.45
38000,9728000,3020.77,161.80
38500,9856000,2681.51,155.46
39000,9984000,2792.15,189.42
39500,10112000,2883.72,317.58
40000,10240000,2968.40,157.52
40500,10368000,2892.74,256.51
41000,10496000,2566.15,239.16
41500,10624000,2654.15,231.54
42000,10752000,2680.08,316.05
42500,10880000,2830.38,267.30
43000,11008000,2673.64,198.25
43500,11136000,3259.57,229.22
44000,11264000,2923.20,297.50
44500,11392000,2896.44,356.71
45000,11520000,2635.63,153.92
45500,11648000,3083.82,286.55
46000,11776000,2657.06,194.27
46500,11904000,2724.38,172.41
47000,12032000,2743.66,243.14
47500,12160000,2792.98,169.26
48000,12288000,2864.01,176.66
48500,12416000,2857.87,186.28
49000,12544000,2591.06,236.69
49500,12672000,4313.38,672.69
50000,12800000,2789.95,277.13
