iteration,timesteps,mean_cost,std_cost
500,128000,806002.85,22979.26
1000,256000,119270.55,3043.53
1500,384000,605354.69,34697.28
2000,512000,24260.15,3344.31
2500,640000,10296.09,175.58
3000,768000,9302.68,149.50
3500,896000,5529.93,136.37
4000,1024000,4672.34,239.47
4500,1152000,3522.73,157.45
5000,1280000,3597.65,140.19
5500,1408000,2831.78,161.12
6000,1536000,2662.71,197.32
6500,1664000,3381.25,259.25
7000,1792000,2742.73,168.63
7500,1920000,2941.75,174.17
8000,2048000,3000.25,152.88
8500,2176000,6752.79,158.31
9000,2304000,4039.71,158.52
9500,2432000,3254.99,164.41
10000,2560000,2615.09,225.64
10500,2688000,4017.65,164.26
11000,2816000,2747.60,159.52
11500,2944000,3144.51,201.55
12000,3072000,2544.17,216.40
12500,3200000,2628.35,266.63
13000,3328000,3764.39,396.21
13500,3456000,3483.15,374.39
14000,3584000,9744.40,625.85
14500,3712000,3671.90,166.47
15000,3840000,2744.52,208.67
15500,3968000,2601.55,346.50
16000,4096000,3841.89,306.61
16500,4224000,3120.37,234.81
17000,4352000,2826.73,258.68
17500,4480000,2471.39,180.09
18000,4608000,2455.97,190.62
18500,4736000,2456.36,141.80
19000,4864000,2631.91,150.17
19500,4992000,2444.35,250.82
20000,5120000,2628.44,181.92
20500,5248000,2537.01,221.30
21000,5376000,2795.78,153.61
21500,5504000,2616.55,214.70
22000,5632000,2442.54,184.26
22500,5760000,2727.12,145.25
23000,5888000,3271.52,164.70
23500,6016000,2408.37,194.00
24000,6144000,2450.44,196.57
24500,6272000,2623.03,164.04
25000,6400000,2351.39,174.23
25500,6528000,2525.49,179.08
26000,6656000,2446.72,184.89
26500,6784000,2609.13,213.21
27000,6912000,2779.46,299.31
27500,7040000,2506.62,218.12
28000,7168000,2598.47,120.56
28500,7296000,2456.97,168.44
29000,7424000,2614.33,243.83
29500,7552000,2434.48,200.67
30000,7680000,2585.32,198.36
30500,7808000,2519.60,244.13
31000,7936000,3535.43,451.59
31500,8064000,2451.31,218.38
32000,8192000,2434.28,148.09
32500,8320000,2755.23,210.05
33000,8448000,2625.68,136.64
33500,8576000,2523.57,243.33
34000,8704000,2977.40,196.53
34500,8832000,2467.72,166.05
35000,8960000,2480.85,168.11
35500,9088000,2490.67,157.50
36000,9216000,2510.25,262.52
36500,9344000,2427.33,222.40
37000,9472000,2554.26,127.05
37500,9600000,2540.77,269.27
38000,9728000,2421.83,158.33
38500,9856000,2556.65,246.47
39000,9984000,2416.45,261.88
39500,10112000,2415.19,166.98
40000,10240000,2460.46,240.53
40500,10368000,2436.92,163.33
41000,10496000,2578.29,210.30
41500,10624000,2413.18,159.01
42000,10752000,2557.60,163.38
42500,10880000,2823.97,160.56
43000,11008000,2527.47,193.40
43500,11136000,2455.20,197.37
44000,11264000,2461.23,210.83
44500,11392000,2499.61,207.39
45000,11520000,2778.14,232.88
45500,11648000,2595.03,234.80
46000,11776000,2560.50,153.74
46500,11904000,2498.53,189.82
47000,12032000,2523.33,255.84
47500,12160000,2406.48,187.77
48000,12288000,2405.30,215.27
48500,12416000,2415.99,175.47
49000,12544000,2528.09,220.99
49500,12672000,2490.66,261.38
50000,12800000,3111.14,1005.29
