iteration,timesteps,mean_cost,std_cost
500,128000,923990.96,10856.29
1000,256000,922991.33,6020.82
1500,384000,727652.08,23398.58
2000,512000,817806.03,10142.38
2500,640000,610187.68,16214.32
3000,768000,297118.59,4028.41
3500,896000,220291.98,7805.43
4000,1024000,122157.85,4668.22
4500,1152000,15411.26,710.86
5000,1280000,10377.39,301.80
5500,1408000,8381.08,378.66
6000,1536000,7260.25,250.36
6500,1664000,6393.86,283.31
7000,1792000,6304.51,486.25
7500,1920000,6155.46,269.97
8000,2048000,6508.55,245.87
8500,2176000,6306.83,521.05
9000,2304000,6175.62,394.49
9500,2432000,6441.42,317.82
10000,2560000,6441.55,500.32
10500,2688000,6067.73,333.35
11000,2816000,6050.44,291.26
11500,2944000,6756.49,600.41
12000,3072000,6084.80,326.49
12500,3200000,5988.24,484.30
13000,3328000,6043.74,402.79
13500,3456000,5956.05,366.61
14000,3584000,6293.36,487.83
14500,3712000,6582.26,432.47
15000,3840000,6149.18,461.46
15500,3968000,5866.81,339.93
16000,4096000,5764.64,411.91
16500,4224000,5574.28,369.29
17000,4352000,5902.70,295.89
17500,4480000,5954.65,329.94
18000,4608000,6485.97,432.15
18500,4736000,5880.55,240.24
19000,4864000,5892.59,598.98
19500,4992000,5795.02,242.42
20000,5120000,5794.05,280.47
20500,5248000,5542.55,313.16
21000,5376000,5492.06,359.95
21500,5504000,5575.79,301.13
22000,5632000,5864.96,292.01
22500,5760000,5657.71,366.36
23000,5888000,5774.37,405.99
23500,6016000,5779.80,433.38
24000,6144000,5793.13,281.43
24500,6272000,5754.15,367.41
25000,6400000,5598.15,426.26
25500,6528000,5667.13,312.81
26000,6656000,5759.71,297.85
26500,6784000,5684.26,235.27
27000,6912000,5722.89,266.09
27500,7040000,6112.88,635.48
28000,7168000,5641.38,303.05
28500,7296000,5705.12,303.42
29000,7424000,5811.02,493.81
29500,7552000,5840.44,420.43
30000,7680000,5756.12,210.09
30500,7808000,5603.27,301.72
31000,7936000,5611.15,280.42
31500,8064000,5860.27,444.91
32000,8192000,5753.45,339.31
32500,8320000,5962.50,409.70
33000,8448000,6059.76,389.13
33500,8576000,5923.86,510.80
34000,8704000,5775.60,401.12
34500,8832000,5717.56,343.29
35000,8960000,6921.55,349.58
35500,9088000,6422.73,195.68
36000,9216000,5809.23,412.72
36500,9344000,5678.62,255.70
37000,9472000,5698.79,318.66
37500,9600000,5937.05,489.19
38000,9728000,6224.72,522.25
38500,9856000,5907.18,306.15
39000,9984000,6599.52,201.08
39500,10112000,7061.80,171.31
40000,10240000,5830.71,473.60
40500,10368000,5529.88,308.52
41000,10496000,5988.77,512.03
41500,10624000,5661.30,399.12
42000,10752000,5567.97,348.33
42500,10880000,5776.25,227.69
43000,11008000,5770.14,355.28
43500,11136000,5701.86,452.78
44000,11264000,5857.24,430.04
44500,11392000,5699.05,273.24
45000,11520000,5627.90,349.76
45500,11648000,5620.42,424.46
46000,11776000,5547.15,289.18
46500,11904000,5590.24,476.88
47000,12032000,5637.60,389.50
47500,12160000,5661.58,486.80
48000,12288000,5804.52,552.78
48500,12416000,5639.46,430.16
49000,12544000,5610.70,492.61
49500,12672000,5502.84,337.32
50000,12800000,5587.53,285.51
