iteration,timesteps,mean_cost,std_cost
500,128000,998395.11,44011.91
1000,256000,942926.07,39989.51
1500,384000,895583.68,26749.64
2000,512000,135278.58,14223.40
2500,640000,18632.99,261.05
3000,768000,12646.59,783.40
3500,896000,9626.93,309.58
4000,1024000,21189.31,1638.95
4500,1152000,14060.36,2605.46
5000,1280000,12064.64,2031.61
5500,1408000,8788.25,572.40
6000,1536000,7833.42,1065.78
6500,1664000,7914.71,624.81
7000,1792000,7285.83,833.12
7500,1920000,7276.39,610.76
8000,2048000,7215.00,410.49
8500,2176000,7038.91,290.84
9000,2304000,7203.06,600.64
9500,2432000,6922.48,439.15
10000,2560000,6996.25,291.35
10500,2688000,6887.25,515.35
11000,2816000,7089.86,553.65
11500,2944000,7059.61,398.01
12000,3072000,6944.09,385.23
12500,3200000,6960.44,319.42
13000,3328000,6725.54,416.85
13500,3456000,6884.08,550.48
14000,3584000,6742.75,517.32
14500,3712000,6882.66,290.03
15000,3840000,6766.17,383.09
15500,3968000,6911.52,358.57
16000,4096000,6831.17,550.88
16500,4224000,7147.69,578.30
17000,4352000,6788.67,386.53
17500,4480000,6639.93,423.34
18000,4608000,6581.24,339.45
18500,4736000,6959.26,379.28
19000,4864000,6720.78,331.61
19500,4992000,6803.53,606.64
20000,5120000,6808.76,452.26
20500,5248000,6933.88,415.24
21000,5376000,6735.68,385.69
21500,5504000,6788.30,368.45
22000,5632000,6891.83,400.79
22500,5760000,6701.59,319.64
23000,5888000,6768.17,441.86
23500,6016000,6736.55,395.77
24000,6144000,7400.15,391.08
24500,6272000,6815.99,602.77
25000,6400000,7104.29,703.33
25500,6528000,6750.56,343.50
26000,6656000,6788.75,457.41
26500,6784000,7006.69,438.78
27000,6912000,6915.30,479.72
27500,7040000,6919.40,614.70
28000,7168000,6854.24,448.87
28500,7296000,6758.21,412.29
29000,7424000,6648.51,415.01
29500,7552000,7009.64,411.07
