iteration,timesteps,mean_cost,std_cost
500,128000,1874497.80,69464.87
1000,256000,416685.52,12394.92
1500,384000,577786.68,18223.00
2000,512000,593932.26,2257.63
2500,640000,1032340.17,41384.03
3000,768000,332483.38,2753.06
3500,896000,369202.56,2652.83
4000,1024000,518293.78,82579.81
4500,1152000,1962944.60,46738.13
5000,1280000,20559.22,3085.05
5500,1408000,11837.92,750.54
6000,1536000,11154.87,554.50
6500,1664000,8064.32,465.60
7000,1792000,6952.27,318.43
7500,1920000,6718.38,311.77
8000,2048000,6573.12,323.02
8500,2176000,6160.02,236.82
9000,2304000,5967.89,284.89
9500,2432000,5919.05,351.46
10000,2560000,5734.72,321.13
10500,2688000,6249.56,474.36
11000,2816000,5950.40,322.14
11500,2944000,5773.69,297.59
12000,3072000,5815.26,440.68
12500,3200000,6212.16,212.77
13000,3328000,5636.26,354.23
13500,3456000,5832.51,488.85
14000,3584000,5987.63,337.83
14500,3712000,5823.14,368.80
15000,3840000,5658.75,230.76
15500,3968000,5950.21,342.45
16000,4096000,5874.10,310.84
16500,4224000,5574.96,419.42
17000,4352000,5861.65,340.02
17500,4480000,6030.36,519.43
18000,4608000,5721.47,551.57
18500,4736000,5913.29,509.97
19000,4864000,5485.35,360.95
19500,4992000,5567.11,383.34
20000,5120000,5512.65,383.69
20500,5248000,5752.32,398.00
21000,5376000,5581.02,414.16
21500,5504000,5816.67,465.37
22000,5632000,5889.19,731.05
22500,5760000,15393.11,1005.12
23000,5888000,5853.33,553.77
23500,6016000,5777.07,268.15
24000,6144000,5593.82,429.96
24500,6272000,5521.26,437.58
25000,6400000,6143.93,779.92
25500,6528000,6544.93,907.20
26000,6656000,5651.62,378.97
26500,6784000,5692.33,423.30
27000,6912000,5610.69,299.07
27500,7040000,5674.25,481.27
28000,7168000,5733.32,363.24
28500,7296000,5936.76,229.87
29000,7424000,5984.62,404.89
