iteration,timesteps,mean_cost,std_cost
500,128000,876339.37,6868.67
1000,256000,960325.59,5193.77
1500,384000,539644.70,10322.01
2000,512000,729088.86,30923.20
2500,640000,144622.20,13951.60
3000,768000,64531.11,1268.58
3500,896000,17253.65,802.87
4000,1024000,11976.63,476.34
4500,1152000,10218.67,1236.38
5000,1280000,8351.11,356.08
5500,1408000,6857.96,249.77
6000,1536000,7087.05,282.31
6500,1664000,5573.38,241.63
7000,1792000,5125.95,179.29
7500,1920000,5778.34,192.86
8000,2048000,5087.88,394.26
8500,2176000,4911.05,283.11
9000,2304000,5144.34,218.61
9500,2432000,5159.31,205.40
10000,2560000,4980.90,327.31
10500,2688000,5100.25,210.27
11000,2816000,5092.42,259.25
11500,2944000,5003.02,256.24
12000,3072000,5133.02,210.39
12500,3200000,5098.10,519.88
13000,3328000,5179.29,252.55
13500,3456000,4912.18,263.26
14000,3584000,4905.10,400.18
14500,3712000,4939.96,341.47
15000,3840000,5019.07,308.97
15500,3968000,5046.12,223.75
16000,4096000,4916.02,322.68
16500,4224000,5177.94,519.57
17000,4352000,4998.78,384.58
17500,4480000,5047.65,282.04
18000,4608000,5179.61,372.90
18500,4736000,4967.42,390.06
19000,4864000,4842.70,315.76
19500,4992000,5321.14,366.72
20000,5120000,5323.42,501.25
20500,5248000,4931.91,318.68
21000,5376000,4880.96,275.72
21500,5504000,4817.22,345.02
22000,5632000,4831.18,310.51
22500,5760000,5157.16,391.87
23000,5888000,5157.15,206.48
23500,6016000,4939.01,361.85
24000,6144000,4884.46,291.06
24500,6272000,4780.15,322.42
25000,6400000,6828.80,381.78
25500,6528000,5235.00,284.07
26000,6656000,5449.28,565.77
26500,6784000,5088.46,205.32
27000,6912000,4863.04,227.80
27500,7040000,5023.69,190.01
28000,7168000,4872.13,296.83
28500,7296000,5198.83,357.98
