iteration,timesteps,mean_cost,std_cost
500,128000,1380462.80,6291.83
1000,256000,1158427.18,4559.52
1500,384000,652371.02,4652.07
2000,512000,659601.93,4646.95
2500,640000,506663.31,12990.84
3000,768000,434829.77,2541.73
3500,896000,1352070.49,54045.28
4000,1024000,928158.26,27213.85
4500,1152000,577419.61,2661.82
5000,1280000,569165.32,2158.90
5500,1408000,547500.44,2319.75
6000,1536000,554567.05,2424.71
6500,1664000,473463.05,3634.07
7000,1792000,465311.92,2261.17
7500,1920000,210732.10,9925.53
8000,2048000,271809.99,13515.12
8500,2176000,711817.64,37278.72
9000,2304000,199326.60,20546.74
9500,2432000,181119.35,1242.73
10000,2560000,133340.12,2121.04
10500,2688000,121218.12,8291.11
11000,2816000,138348.70,6704.19
11500,2944000,48066.81,9917.13
12000,3072000,28608.51,3035.29
12500,3200000,35815.80,4185.97
13000,3328000,22726.99,1920.05
13500,3456000,18503.65,3944.41
14000,3584000,14845.17,949.44
14500,3712000,8891.77,1860.77
15000,3840000,9329.65,1901.84
15500,3968000,9320.74,880.04
16000,4096000,8357.11,808.60
16500,4224000,7992.77,1534.21
17000,4352000,6404.78,527.27
17500,4480000,7461.46,656.35
18000,4608000,5608.07,1241.23
18500,4736000,13674.44,1095.90
19000,4864000,6173.63,714.79
19500,4992000,6105.57,461.35
20000,5120000,6330.38,424.82
20500,5248000,5798.26,1007.98
21000,5376000,5326.93,480.21
21500,5504000,7360.23,480.86
22000,5632000,8956.91,705.97
22500,5760000,6978.29,989.86
23000,5888000,6780.75,487.23
23500,6016000,6473.33,851.77
24000,6144000,5949.59,696.61
24500,6272000,5724.67,487.95
25000,6400000,5243.42,1218.00
25500,6528000,6305.90,1452.98
26000,6656000,8649.28,497.66
26500,6784000,6336.95,2418.06
27000,6912000,6885.41,1146.44
27500,7040000,7264.26,1828.33
28000,7168000,6638.46,2787.43
28500,7296000,9847.22,2851.85
29000,7424000,6876.00,2329.03
29500,7552000,13865.76,6209.90
30000,7680000,6328.53,662.49
30500,7808000,7806.02,2585.86
31000,7936000,8062.69,1374.33
31500,8064000,7241.28,2828.73
32000,8192000,9977.63,5243.45
32500,8320000,7357.73,1694.72
33000,8448000,8097.12,803.25
33500,8576000,9828.01,1858.48
34000,8704000,8162.54,2144.03
34500,8832000,6045.43,1199.91
35000,8960000,7026.28,2446.76
35500,9088000,6636.49,975.24
36000,9216000,6460.28,2117.04
36500,9344000,5735.00,1914.46
37000,9472000,6180.71,1466.33
37500,9600000,9137.81,1819.27
38000,9728000,6839.87,1024.47
38500,9856000,6727.43,3238.08
39000,9984000,6245.64,1470.11
39500,10112000,6403.62,2276.97
40000,10240000,10274.32,1481.43
40500,10368000,6667.98,2761.48
41000,10496000,8246.54,3570.46
41500,10624000,7395.10,2927.53
42000,10752000,6724.19,722.34
42500,10880000,8089.83,3027.87
43000,11008000,8308.67,2057.86
43500,11136000,6763.33,2399.15
44000,11264000,7510.83,3160.52
44500,11392000,6381.30,1336.72
45000,11520000,7976.74,4570.52
45500,11648000,6475.11,1211.71
46000,11776000,5673.58,1751.56
46500,11904000,5720.82,835.64
47000,12032000,10608.21,3934.11
47500,12160000,8236.73,3316.28
48000,12288000,9358.71,5423.76
48500,12416000,8814.24,4541.55
49000,12544000,9685.10,4212.27
49500,12672000,8635.20,2332.91
50000,12800000,7251.96,2883.60
