iteration,timesteps,mean_cost,std_cost
500,128000,607812.62,6204.90
1000,256000,554846.60,18572.07
1500,384000,422220.25,2743.43
2000,512000,488191.91,1883.06
2500,640000,461518.71,2899.96
3000,768000,430251.39,2535.11
3500,896000,533189.45,9439.91
4000,1024000,390412.46,1673.61
4500,1152000,333103.35,4186.50
5000,1280000,99048.75,8023.72
5500,1408000,31517.89,2520.16
6000,1536000,7363.64,161.97
6500,1664000,5452.20,159.33
7000,1792000,3792.22,121.86
7500,1920000,3214.64,142.87
8000,2048000,2859.98,141.12
8500,2176000,2811.13,158.77
9000,2304000,2878.77,188.24
9500,2432000,2639.95,216.70
10000,2560000,2724.18,296.10
10500,2688000,2599.99,204.43
11000,2816000,2631.97,234.76
11500,2944000,2648.48,169.13
12000,3072000,2770.67,256.54
12500,3200000,2631.79,175.24
13000,3328000,2598.64,176.68
13500,3456000,2567.42,212.79
14000,3584000,2663.07,221.75
14500,3712000,2580.21,216.35
15000,3840000,2667.48,204.53
15500,3968000,2604.94,180.61
16000,4096000,2841.48,360.51
16500,4224000,2625.94,184.20
17000,4352000,2651.62,214.56
17500,4480000,2621.09,160.98
18000,4608000,2713.01,271.55
18500,4736000,2773.53,362.16
19000,4864000,2616.49,178.12
19500,4992000,2618.09,219.90
20000,5120000,2598.82,199.99
20500,5248000,2556.12,196.66
21000,5376000,2593.79,182.72
21500,5504000,2832.40,197.68
22000,5632000,2649.96,182.42
22500,5760000,2695.28,142.80
23000,5888000,2548.08,214.84
23500,6016000,2608.60,166.95
24000,6144000,2592.71,212.37
24500,6272000,2581.02,160.75
25000,6400000,2633.98,217.05
25500,6528000,2623.76,260.07
26000,6656000,2620.95,197.22
26500,6784000,2552.32,238.43
27000,6912000,2576.34,232.79
27500,7040000,2641.32,178.34
28000,7168000,2618.18,194.83
28500,7296000,2515.11,190.58
29000,7424000,2644.89,185.89
