iteration,timesteps,mean_cost,std_cost
500,128000,921936.15,10325.30
1000,256000,785639.07,4356.17
1500,384000,717122.74,2947.72
2000,512000,712460.22,4265.50
2500,640000,574277.90,3914.48
3000,768000,607362.88,2629.46
3500,896000,546235.32,4949.32
4000,1024000,661347.38,10014.25
4500,1152000,606190.46,6106.55
5000,1280000,548140.56,3787.58
5500,1408000,524463.64,14020.96
6000,1536000,342650.42,4581.14
6500,1664000,50035.71,656.36
7000,1792000,30995.95,3563.42
7500,1920000,9996.52,1000.94
8000,2048000,6454.73,338.30
8500,2176000,6073.41,149.95
9000,2304000,4196.31,175.10
9500,2432000,4330.12,147.86
10000,2560000,3149.61,140.47
10500,2688000,3041.07,158.26
11000,2816000,3069.64,139.60
11500,2944000,3263.31,272.42
12000,3072000,2943.47,142.27
12500,3200000,3261.68,263.72
13000,3328000,2906.43,244.61
13500,3456000,3486.17,480.04
14000,3584000,3990.57,121.22
14500,3712000,3029.36,225.37
15000,3840000,3173.15,363.14
15500,3968000,3052.94,179.14
16000,4096000,2812.57,175.30
16500,4224000,2879.21,323.22
17000,4352000,2923.85,157.91
17500,4480000,2781.63,229.72
18000,4608000,2822.50,152.12
18500,4736000,2787.17,194.01
19000,4864000,3551.02,171.81
19500,4992000,2948.28,152.87
20000,5120000,2871.77,253.20
20500,5248000,2779.94,257.36
21000,5376000,2955.75,207.31
21500,5504000,2752.14,214.41
22000,5632000,2778.71,240.72
22500,5760000,3025.96,416.84
23000,5888000,2838.38,215.10
23500,6016000,2934.36,257.82
24000,6144000,2676.27,225.89
24500,6272000,2961.51,190.39
25000,6400000,2943.34,222.68
25500,6528000,2852.50,203.46
26000,6656000,2727.25,240.91
26500,6784000,3055.40,371.29
27000,6912000,3128.35,206.31
27500,7040000,2911.70,176.68
28000,7168000,2744.85,227.02
28500,7296000,2891.93,176.60
29000,7424000,2975.55,321.60
