iteration,timesteps,mean_cost,std_cost
500,128000,628836.75,10948.74
1000,256000,1154703.89,17879.03
1500,384000,404560.88,3182.09
2000,512000,572839.86,10755.39
2500,640000,582218.71,2024.24
3000,768000,591204.21,2084.93
3500,896000,559287.08,2628.73
4000,1024000,484479.10,1609.30
4500,1152000,499646.94,1651.77
5000,1280000,486060.52,1044.21
5500,1408000,412692.84,1182.42
6000,1536000,366434.12,1165.33
6500,1664000,134671.14,6648.99
7000,1792000,18078.57,1058.49
7500,1920000,31441.75,6662.46
8000,2048000,10747.62,295.08
8500,2176000,9578.69,762.09
9000,2304000,7281.22,204.23
9500,2432000,6278.56,260.28
10000,2560000,5287.87,236.92
10500,2688000,5095.26,262.06
11000,2816000,5161.58,392.37
11500,2944000,5245.57,157.83
12000,3072000,5050.69,191.07
12500,3200000,4807.66,241.47
13000,3328000,4857.67,210.96
13500,3456000,4901.89,224.63
14000,3584000,4899.84,228.05
14500,3712000,4915.45,256.15
15000,3840000,5227.71,411.19
15500,3968000,4834.36,335.13
16000,4096000,4713.25,302.07
16500,4224000,4678.81,297.26
17000,4352000,4763.48,259.14
17500,4480000,4984.68,321.06
18000,4608000,4798.15,217.49
18500,4736000,5055.03,260.15
19000,4864000,4977.30,373.53
19500,4992000,4792.33,284.20
20000,5120000,39800.33,1963.73
20500,5248000,4781.01,236.97
21000,5376000,4808.56,338.11
21500,5504000,4710.32,263.97
22000,5632000,4909.35,391.58
22500,5760000,4772.03,278.82
23000,5888000,5049.84,443.07
23500,6016000,4997.70,356.04
24000,6144000,4722.30,296.67
24500,6272000,4702.45,318.29
25000,6400000,4673.63,320.98
25500,6528000,4700.72,285.07
26000,6656000,4837.10,325.44
26500,6784000,4803.66,277.90
27000,6912000,4725.04,220.64
27500,7040000,4824.79,386.75
28000,7168000,4725.77,292.76
28500,7296000,4700.83,312.51
29000,7424000,4807.46,212.93
29500,7552000,4770.33,290.52
