iteration,timesteps,mean_cost,std_cost
500,128000,1997394.08,39598.38
1000,256000,525546.34,22013.29
1500,384000,494362.77,18920.72
2000,512000,773682.97,10120.68
2500,640000,1492843.41,8708.81
3000,768000,944398.19,32082.67
3500,896000,1123958.17,35039.56
4000,1024000,1553852.00,22650.64
4500,1152000,557919.41,34873.40
5000,1280000,389180.58,18407.00
5500,1408000,429303.71,17030.91
6000,1536000,694548.96,41542.55
6500,1664000,943406.27,128004.95
7000,1792000,940942.78,27251.44
7500,1920000,956896.39,20351.49
8000,2048000,1073122.36,12561.38
8500,2176000,774290.16,16033.07
9000,2304000,749221.58,22165.92
9500,2432000,705509.14,8351.78
10000,2560000,1065796.79,116332.95
10500,2688000,1078336.68,9090.73
11000,2816000,613583.77,3756.71
11500,2944000,979498.61,6675.91
12000,3072000,878205.99,4092.71
12500,3200000,1001502.79,7275.37
13000,3328000,1034243.54,5785.42
13500,3456000,1234879.06,11326.38
14000,3584000,1230972.34,25640.14
14500,3712000,1147885.70,24998.63
15000,3840000,1026681.41,22663.39
15500,3968000,1217044.46,16685.95
16000,4096000,1502824.94,16899.54
16500,4224000,1548409.74,15479.62
17000,4352000,954145.38,18508.25
17500,4480000,871164.77,28607.87
18000,4608000,1151100.39,13414.03
18500,4736000,959713.44,27673.39
19000,4864000,1001876.18,10023.03
19500,4992000,729534.57,42379.82
20000,5120000,522784.14,27334.46
20500,5248000,435833.29,30040.98
21000,5376000,427638.32,25861.11
21500,5504000,392109.09,17233.44
22000,5632000,790006.39,11371.52
22500,5760000,432563.04,15043.17
23000,5888000,457396.65,5429.63
23500,6016000,506468.18,31218.37
24000,6144000,462340.50,55163.57
24500,6272000,686858.49,133130.01
25000,6400000,519892.84,70256.72
25500,6528000,1277601.49,178093.49
26000,6656000,623789.07,73179.04
26500,6784000,500098.73,26539.33
27000,6912000,476421.56,65465.22
27500,7040000,612739.31,18802.15
28000,7168000,535124.43,15452.37
28500,7296000,593981.72,93493.47
29000,7424000,958866.06,126367.70
29500,7552000,1289617.64,276074.69
30000,7680000,645292.76,226516.92
30500,7808000,461451.31,31514.48
31000,7936000,657859.63,120915.66
31500,8064000,770840.67,89238.11
32000,8192000,513214.51,43116.60
32500,8320000,425843.64,3516.93
33000,8448000,393767.60,3668.48
33500,8576000,366775.61,7393.22
34000,8704000,603324.90,59000.99
34500,8832000,590004.10,23086.50
35000,8960000,877092.21,16062.75
35500,9088000,1021671.19,25872.17
36000,9216000,1222455.88,32521.52
36500,9344000,1215566.12,14493.92
37000,9472000,1411285.58,25518.15
37500,9600000,472085.64,9432.38
38000,9728000,443737.35,9039.38
38500,9856000,662450.18,27778.05
39000,9984000,677900.89,15382.24
39500,10112000,628544.04,11888.86
40000,10240000,801611.91,16044.00
40500,10368000,1394195.25,10083.25
41000,10496000,1258217.09,8574.32
41500,10624000,1020638.26,7700.58
42000,10752000,647547.16,11603.19
42500,10880000,337482.76,11232.72
43000,11008000,333778.66,10759.18
43500,11136000,400297.39,17587.03
44000,11264000,344818.16,8470.80
44500,11392000,506289.63,20963.40
45000,11520000,311314.14,2401.97
45500,11648000,466054.43,9920.40
46000,11776000,544508.34,14546.42
46500,11904000,687290.43,7108.54
47000,12032000,462531.59,19049.60
47500,12160000,511528.96,30825.12
48000,12288000,479617.37,11914.05
48500,12416000,837905.86,16750.59
49000,12544000,530923.52,25583.84
49500,12672000,841760.21,29316.50
50000,12800000,871670.32,27432.77
