iteration,timesteps,mean_cost,std_cost
500,128000,1541235.75,20042.25
1000,256000,870345.99,26419.20
1500,384000,157049.14,1293.50
2000,512000,698105.31,17444.36
2500,640000,294746.96,30972.67
3000,768000,60307.74,6905.23
3500,896000,501204.60,10562.59
4000,1024000,290778.12,16286.49
4500,1152000,195139.29,15093.95
5000,1280000,64328.61,919.77
5500,1408000,198372.09,19579.40
6000,1536000,51290.66,5900.22
6500,1664000,58495.65,8861.04
7000,1792000,49448.59,2167.02
7500,1920000,187745.72,11511.44
8000,2048000,947531.02,26738.65
8500,2176000,647705.03,17464.20
9000,2304000,445917.05,14750.20
9500,2432000,289302.36,31279.95
10000,2560000,181342.26,26330.06
10500,2688000,520344.97,28933.99
11000,2816000,361840.45,31958.36
11500,2944000,329190.67,23553.55
12000,3072000,908675.32,29142.23
12500,3200000,850978.39,31975.14
13000,3328000,963134.07,35875.62
13500,3456000,394783.22,24104.18
14000,3584000,193382.83,39833.33
14500,3712000,48795.27,6795.54
15000,3840000,354254.35,24116.20
15500,3968000,310784.47,44677.83
16000,4096000,113331.61,7009.38
16500,4224000,885141.44,29175.65
17000,4352000,959516.14,32978.19
17500,4480000,871529.80,27994.50
18000,4608000,527635.67,13417.21
18500,4736000,259047.82,24495.53
19000,4864000,21075.07,904.76
19500,4992000,93825.33,66166.44
20000,5120000,938981.87,53952.82
20500,5248000,981670.92,48552.52
21000,5376000,588971.52,65121.42
21500,5504000,922601.29,37629.19
22000,5632000,1104426.99,34649.76
22500,5760000,1048165.45,28557.85
23000,5888000,1126253.65,36938.72
23500,6016000,1049679.13,31036.73
24000,6144000,1022949.02,29353.91
24500,6272000,916075.51,31899.18
25000,6400000,1360129.84,79120.13
25500,6528000,1546724.08,68971.29
26000,6656000,1138338.69,34301.79
26500,6784000,1728435.64,35642.38
27000,6912000,1527957.15,51947.56
27500,7040000,1734574.26,28955.56
28000,7168000,2312368.78,80962.47
28500,7296000,1584255.05,38404.73
29000,7424000,1822275.82,126191.22
29500,7552000,679583.49,50413.79
30000,7680000,1643924.47,68143.53
30500,7808000,1937694.73,73328.42
31000,7936000,1799303.68,139584.10
31500,8064000,2179135.24,79559.60
32000,8192000,2318033.97,69813.46
32500,8320000,2348838.72,66526.78
33000,8448000,2376662.36,53889.79
33500,8576000,2302525.56,54085.74
34000,8704000,1869097.83,41007.95
34500,8832000,1880720.52,115092.07
35000,8960000,1130758.80,67580.51
35500,9088000,1218887.62,110513.71
36000,9216000,968109.87,29916.56
36500,9344000,1946294.13,109040.40
37000,9472000,995347.19,79959.98
37500,9600000,2059685.42,90292.99
38000,9728000,1098586.01,42560.43
38500,9856000,1948646.80,127121.40
39000,9984000,1959967.53,108606.98
39500,10112000,2027137.18,81988.66
40000,10240000,1511392.17,88486.78
40500,10368000,2344673.46,86943.06
41000,10496000,1297238.83,36368.86
41500,10624000,1383646.43,34736.75
42000,10752000,1388322.28,31228.34
42500,10880000,673603.42,93781.91
43000,11008000,1278481.22,73664.25
43500,11136000,1456063.23,95030.79
44000,11264000,1833602.60,48323.66
44500,11392000,1850226.02,89355.15
45000,11520000,1616066.70,54273.02
45500,11648000,1766933.60,37635.45
46000,11776000,1526737.67,103640.56
46500,11904000,1953225.03,92592.27
47000,12032000,1494625.61,59412.27
47500,12160000,2047277.74,131030.43
48000,12288000,1627561.16,192301.48
48500,12416000,2112344.05,125742.68
49000,12544000,1845274.42,107128.67
49500,12672000,2044860.94,95573.02
50000,12800000,2181869.27,154825.64
