iteration,timesteps,mean_cost,std_cost
100,25600,259435.29,4525.85
200,51200,234110.82,3033.44
300,76800,241226.61,2930.13
400,102400,231176.14,3824.26
500,128000,246119.73,3109.98
600,153600,237644.13,3420.63
700,179200,243317.18,3301.43
800,204800,182842.01,2773.90
900,230400,143315.46,1103.77
1000,256000,18593.37,477.62
1100,281600,5191.26,374.16
1200,307200,5919.06,438.32
1300,332800,4974.74,162.27
1400,358400,5243.43,332.30
1500,384000,5613.37,343.47
1600,409600,5031.57,200.71
1700,435200,5068.92,158.72
1800,460800,4977.76,195.31
1900,486400,4990.58,186.88
2000,512000,4913.26,167.19
2100,537600,4745.20,277.42
2200,563200,4849.72,187.83
2300,588800,4604.40,176.87
2400,614400,4307.58,188.21
2500,640000,4464.23,190.78
2600,665600,4156.79,169.47
2700,691200,3908.72,159.34
2800,716800,4033.69,154.03
2900,742400,3987.39,221.78
3000,768000,3765.08,292.50
3100,793600,4070.99,224.54
3200,819200,3891.55,230.96
3300,844800,3741.57,191.65
3400,870400,3755.91,178.98
3500,896000,3935.83,288.92
3600,921600,3712.05,215.30
3700,947200,3710.68,194.24
3800,972800,3665.48,186.51
3900,998400,3411.33,202.29
4000,1024000,3484.71,257.33
4100,1049600,3772.19,219.68
4200,1075200,3437.45,243.37
4300,1100800,3525.25,293.00
4400,1126400,3489.50,241.57
4500,1152000,3352.11,259.10
4600,1177600,3445.22,241.64
4700,1203200,3349.49,215.36
4800,1228800,3426.55,209.47
4900,1254400,3457.69,176.52
5000,1280000,3662.06,181.22
5100,1305600,3539.74,128.32
5200,1331200,3437.73,249.01
5300,1356800,3429.54,185.74
5400,1382400,3518.05,203.41
5500,1408000,3342.46,223.34
5600,1433600,3555.41,177.00
5700,1459200,3329.58,277.75
5800,1484800,3391.60,204.03
5900,1510400,3356.11,276.24
6000,1536000,3354.52,233.40
6100,1561600,3456.27,207.95
6200,1587200,3350.41,258.71
6300,1612800,3373.45,219.13
6400,1638400,3452.74,366.46
6500,1664000,3413.03,236.10
6600,1689600,3566.70,221.81
6700,1715200,3323.04,252.12
6800,1740800,3383.12,248.20
6900,1766400,3399.76,287.64
7000,1792000,3529.69,346.18
7100,1817600,3498.17,288.03
7200,1843200,3431.16,262.61
7300,1868800,3489.65,266.48
7400,1894400,3448.01,247.72
7500,1920000,3502.42,305.31
7600,1945600,3458.46,334.73
7700,1971200,3497.66,267.14
7800,1996800,3560.24,185.38
7900,2022400,3485.93,271.25
8000,2048000,3541.43,186.79
8100,2073600,3438.39,348.29
8200,2099200,3483.49,302.02
8300,2124800,3443.99,277.43
8400,2150400,3458.76,197.04
8500,2176000,3409.48,314.28
8600,2201600,3444.25,414.72
8700,2227200,3407.76,371.65
8800,2252800,3396.61,402.36
8900,2278400,3752.29,558.36
9000,2304000,3489.81,332.52
9100,2329600,3459.49,449.07
9200,2355200,3362.03,358.49
9300,2380800,3404.77,345.25
9400,2406400,3344.99,355.62
9500,2432000,3467.62,464.49
9600,2457600,3472.13,372.41
9700,2483200,3491.88,350.89
9800,2508800,3350.52,344.57
9900,2534400,3343.02,349.40
10000,2560000,3364.91,278.93
