iteration,timesteps,mean_cost,std_cost
100,25600,206483.41,3875.99
200,51200,288083.70,17655.01
300,76800,248633.99,12534.02
400,102400,280535.71,8227.77
500,128000,216210.22,4521.36
600,153600,252017.86,3769.71
700,179200,258038.55,2801.29
800,204800,350666.26,14555.00
900,230400,292778.22,6749.43
1000,256000,307448.31,9904.03
1100,281600,221080.28,5536.81
1200,307200,191715.34,3870.77
1300,332800,372532.01,9894.52
1400,358400,242726.20,5969.01
1500,384000,252173.14,9416.89
1600,409600,315228.56,9773.84
1700,435200,307081.67,9046.82
1800,460800,288679.82,10858.58
1900,486400,223451.71,5194.63
2000,512000,219495.97,5470.40
2100,537600,223208.75,6235.14
2200,563200,223363.77,4462.44
2300,588800,225965.61,6302.15
2400,614400,225245.51,4579.42
2500,640000,230743.66,3029.05
2600,665600,207620.11,2936.97
2700,691200,83457.94,1270.87
2800,716800,54600.68,4325.89
2900,742400,51539.69,1099.60
3000,768000,36271.46,992.22
3100,793600,31459.52,786.18
3200,819200,26910.32,416.38
3300,844800,20012.82,248.60
3400,870400,13215.33,275.72
3500,896000,8470.56,420.58
3600,921600,5916.54,644.37
3700,947200,4757.22,312.98
3800,972800,5061.48,199.70
3900,998400,4884.30,186.88
4000,1024000,4234.45,253.98
4100,1049600,4222.48,274.89
4200,1075200,4406.03,261.88
4300,1100800,4227.31,228.41
4400,1126400,4426.69,194.38
4500,1152000,4197.23,240.12
4600,1177600,4510.33,216.10
4700,1203200,4155.07,303.38
4800,1228800,4407.60,173.75
4900,1254400,4368.67,194.43
5000,1280000,4174.09,270.77
5100,1305600,4178.84,210.35
5200,1331200,4118.71,322.71
5300,1356800,4066.21,300.40
5400,1382400,3934.72,258.14
5500,1408000,4022.66,253.74
5600,1433600,4144.08,317.10
5700,1459200,4164.44,220.44
5800,1484800,3895.39,294.27
5900,1510400,4371.72,192.14
6000,1536000,4106.19,167.84
6100,1561600,4151.79,183.12
6200,1587200,3866.00,279.96
6300,1612800,3789.91,283.66
6400,1638400,3813.46,214.75
6500,1664000,3719.88,398.40
6600,1689600,3778.54,277.18
6700,1715200,3917.43,218.39
6800,1740800,3935.67,275.14
6900,1766400,3776.42,286.37
7000,1792000,3878.96,366.58
7100,1817600,3748.99,573.84
7200,1843200,3843.63,212.48
7300,1868800,3962.17,182.27
7400,1894400,3782.90,186.04
7500,1920000,3758.07,263.33
7600,1945600,3691.75,303.45
7700,1971200,3726.97,265.71
7800,1996800,3692.00,286.21
7900,2022400,3771.41,269.40
8000,2048000,3946.80,525.13
8100,2073600,3688.24,441.91
8200,2099200,3785.32,342.32
8300,2124800,3728.95,292.13
8400,2150400,3723.96,274.37
8500,2176000,3850.71,479.33
8600,2201600,4050.56,538.80
8700,2227200,3797.83,223.91
8800,2252800,3824.71,238.68
8900,2278400,3907.13,527.17
9000,2304000,4798.05,864.07
9100,2329600,4195.59,658.57
9200,2355200,3824.95,257.92
9300,2380800,4030.32,239.28
9400,2406400,3860.53,374.83
9500,2432000,3869.67,194.99
9600,2457600,3883.81,255.85
9700,2483200,3912.07,315.97
9800,2508800,3828.62,296.97
9900,2534400,3763.29,238.28
10000,2560000,3728.44,270.95
