iteration,timesteps,mean_cost,std_cost
100,25600,469640.87,3140.29
200,51200,1441937.74,43375.54
300,76800,285996.76,5023.81
400,102400,292022.08,3876.18
500,128000,341575.37,3952.70
600,153600,388211.14,19826.53
700,179200,261290.03,11831.30
800,204800,233357.74,4509.09
900,230400,257132.10,13452.86
1000,256000,283753.14,4076.52
1100,281600,329060.11,7232.74
1200,307200,336885.64,6985.28
1300,332800,263598.25,4119.94
1400,358400,314503.96,5128.98
1500,384000,344735.03,5817.05
1600,409600,318704.01,8082.22
1700,435200,282787.59,7917.62
1800,460800,271912.96,4815.68
1900,486400,245063.02,9243.23
2000,512000,227684.40,6265.61
2100,537600,289720.30,6279.12
2200,563200,303918.70,3824.22
2300,588800,301027.63,5206.82
2400,614400,306100.90,4530.00
2500,640000,296435.65,5200.77
2600,665600,283065.55,4807.57
2700,691200,302917.40,4441.35
2800,716800,313982.22,4430.65
2900,742400,296505.61,6570.18
3000,768000,277318.76,6533.77
3100,793600,297479.90,3447.16
3200,819200,307435.56,4659.43
3300,844800,302727.05,3212.38
3400,870400,301833.39,3627.46
3500,896000,292890.65,3378.23
3600,921600,275902.53,3129.23
3700,947200,272384.02,3041.70
3800,972800,274027.89,3127.78
3900,998400,270036.45,2137.01
4000,1024000,230668.56,2285.69
4100,1049600,175742.50,1322.18
4200,1075200,136269.64,1544.36
4300,1100800,100025.26,870.66
4400,1126400,77055.52,761.05
4500,1152000,65319.55,286.26
4600,1177600,56286.79,241.11
4700,1203200,48021.13,209.05
4800,1228800,40952.86,439.19
4900,1254400,36298.69,447.61
5000,1280000,31290.07,1025.45
5100,1305600,27059.35,232.02
5200,1331200,24010.35,235.09
5300,1356800,20878.63,195.29
5400,1382400,18362.28,227.93
5500,1408000,16810.89,167.92
5600,1433600,15183.28,220.15
5700,1459200,13395.85,197.84
5800,1484800,12169.68,233.43
5900,1510400,10739.24,205.54
6000,1536000,9298.83,192.74
6100,1561600,8584.11,274.90
6200,1587200,7841.44,170.23
6300,1612800,7400.69,171.78
6400,1638400,6379.10,171.64
6500,1664000,6166.70,173.75
6600,1689600,5897.83,287.50
6700,1715200,5758.07,179.49
6800,1740800,5179.50,158.88
6900,1766400,4837.86,187.84
7000,1792000,4592.14,225.85
7100,1817600,4603.05,166.44
7200,1843200,4403.21,205.08
7300,1868800,4081.68,410.22
7400,1894400,3935.05,302.26
7500,1920000,4050.09,306.54
7600,1945600,3938.25,350.75
7700,1971200,4005.15,271.22
7800,1996800,3895.48,274.54
7900,2022400,3888.65,230.44
8000,2048000,4062.55,630.15
8100,2073600,3897.47,351.50
8200,2099200,4401.52,752.64
8300,2124800,3861.30,252.21
8400,2150400,3826.66,380.11
8500,2176000,4003.48,192.23
8600,2201600,3881.14,246.34
8700,2227200,3811.76,242.18
8800,2252800,3932.01,309.89
8900,2278400,4086.18,669.45
9000,2304000,3880.38,213.17
9100,2329600,3812.42,278.80
9200,2355200,3708.75,218.27
9300,2380800,3811.46,268.82
9400,2406400,3973.87,559.12
9500,2432000,3931.74,386.60
9600,2457600,3910.26,324.50
9700,2483200,3815.59,261.01
9800,2508800,3939.24,400.96
9900,2534400,3939.36,312.45
10000,2560000,3962.30,511.08
