iteration,timesteps,mean_cost,std_cost
100,25600,570889.02,39144.92
200,51200,652762.18,33532.87
300,76800,843051.59,40407.59
400,102400,936317.12,28941.76
500,128000,789569.80,19600.45
600,153600,496967.96,15311.63
700,179200,536669.59,16044.90
800,204800,616854.37,16749.80
900,230400,480764.72,8885.14
1000,256000,460343.63,6954.98
1100,281600,463039.99,7563.18
1200,307200,471649.32,9654.98
1300,332800,466599.79,7012.88
1400,358400,468596.03,6390.57
1500,384000,440142.50,5159.14
1600,409600,429697.32,1920.83
1700,435200,424817.31,2153.06
1800,460800,418732.45,3185.11
1900,486400,413349.86,2509.07
2000,512000,417784.72,2112.45
2100,537600,419468.92,2193.15
2200,563200,420737.71,2633.57
2300,588800,428998.38,1980.94
2400,614400,425819.64,2225.12
2500,640000,419130.73,2343.94
2600,665600,417318.66,2108.07
2700,691200,420363.36,2219.85
2800,716800,419020.17,2203.65
2900,742400,418790.44,2594.22
3000,768000,425828.30,2832.36
3100,793600,430448.15,1907.02
3200,819200,439438.63,2287.73
3300,844800,446339.08,2070.98
3400,870400,440864.18,2104.63
3500,896000,433412.82,1663.73
3600,921600,431462.75,1654.47
3700,947200,433013.79,1834.10
3800,972800,434058.18,2080.85
3900,998400,429867.28,1869.73
4000,1024000,427322.66,1772.07
4100,1049600,427159.63,2234.70
4200,1075200,428542.98,2055.97
4300,1100800,429822.43,2133.84
4400,1126400,435534.61,2276.24
4500,1152000,433198.53,1894.29
4600,1177600,430019.44,1886.14
4700,1203200,429532.36,2023.89
4800,1228800,422193.78,2700.71
4900,1254400,419700.12,2457.01
5000,1280000,414154.27,3381.18
5100,1305600,412960.49,3288.10
5200,1331200,416384.51,3097.38
5300,1356800,407362.95,3680.12
5400,1382400,411154.22,3401.84
5500,1408000,411883.62,3456.00
5600,1433600,405269.34,3095.49
5700,1459200,414495.43,3241.48
5800,1484800,410025.61,3461.16
5900,1510400,405350.10,2956.51
6000,1536000,408361.09,3264.95
6100,1561600,411155.85,3323.30
6200,1587200,402805.48,2889.31
6300,1612800,403191.69,2314.93
6400,1638400,397462.98,2918.41
6500,1664000,399062.52,2591.65
6600,1689600,388934.55,2384.04
6700,1715200,394166.25,3381.06
6800,1740800,397285.53,3983.14
6900,1766400,406610.10,3920.96
7000,1792000,399274.30,3041.51
7100,1817600,404470.82,4201.27
7200,1843200,398750.86,3380.10
7300,1868800,401985.32,3407.80
7400,1894400,402674.10,2921.71
7500,1920000,404767.27,2647.20
7600,1945600,406357.00,3397.36
7700,1971200,411974.69,5697.19
7800,1996800,416382.35,4051.21
7900,2022400,420147.87,5242.37
8000,2048000,412094.90,6106.95
8100,2073600,411225.10,7447.35
8200,2099200,405112.62,8701.37
8300,2124800,395619.86,7643.19
8400,2150400,410763.79,7750.03
8500,2176000,422930.90,9743.33
8600,2201600,433848.25,8221.21
8700,2227200,438343.87,6474.98
8800,2252800,429293.38,6098.52
8900,2278400,432890.05,7376.94
9000,2304000,435745.94,7226.20
9100,2329600,433643.72,5720.20
9200,2355200,438975.46,6267.21
9300,2380800,433408.50,4841.50
9400,2406400,433747.21,5290.52
9500,2432000,422505.55,4154.01
9600,2457600,423427.06,3515.43
9700,2483200,426387.45,4097.99
9800,2508800,421287.21,3907.05
9900,2534400,419583.55,2691.41
10000,2560000,419274.07,3052.43
