iteration,timesteps,mean_cost,std_cost
100,25600,235890.99,3654.63
200,51200,140495.35,3316.31
300,76800,139489.63,3265.95
400,102400,125985.03,2001.64
500,128000,89498.49,3078.84
600,153600,103698.68,7413.27
700,179200,146371.90,9390.43
800,204800,38064.73,291.56
900,230400,5698.61,696.90
1000,256000,6189.15,367.39
1100,281600,6228.50,404.85
1200,307200,5768.95,347.21
1300,332800,5682.19,238.71
1400,358400,5275.10,162.55
1500,384000,4968.73,206.13
1600,409600,5402.39,143.22
1700,435200,5384.34,195.41
1800,460800,4856.06,186.04
1900,486400,5001.78,183.53
2000,512000,4826.73,190.44
2100,537600,4664.52,259.40
2200,563200,4583.35,271.45
2300,588800,4636.97,268.95
2400,614400,4621.53,253.94
2500,640000,4778.41,249.26
2600,665600,4663.51,257.91
2700,691200,4566.05,362.91
2800,716800,4581.13,334.08
2900,742400,4665.22,242.52
3000,768000,4776.00,221.45
3100,793600,4521.16,223.32
3200,819200,4602.94,242.39
3300,844800,4567.99,415.13
3400,870400,4512.58,368.48
3500,896000,4557.80,350.70
3600,921600,4526.18,296.24
3700,947200,4664.49,260.34
3800,972800,4545.14,264.33
3900,998400,4648.92,270.64
4000,1024000,4601.94,398.24
4100,1049600,4678.61,452.11
4200,1075200,4496.06,271.91
4300,1100800,4693.57,454.75
4400,1126400,4547.64,427.67
4500,1152000,4604.31,317.15
4600,1177600,4543.91,234.34
4700,1203200,4441.65,279.33
4800,1228800,4639.34,231.24
4900,1254400,4570.55,325.46
5000,1280000,4547.20,304.45
5100,1305600,4537.88,435.73
5200,1331200,4558.56,405.80
5300,1356800,4409.71,294.50
5400,1382400,4524.71,222.54
5500,1408000,4420.14,412.98
5600,1433600,4371.37,322.34
5700,1459200,4412.69,349.14
5800,1484800,4338.98,476.56
5900,1510400,4359.11,408.61
6000,1536000,4538.34,480.79
6100,1561600,4251.97,298.94
6200,1587200,4397.92,450.39
6300,1612800,4347.15,317.98
6400,1638400,4377.23,233.65
6500,1664000,4375.63,455.81
6600,1689600,4337.21,428.97
6700,1715200,4299.78,415.31
6800,1740800,4320.55,412.14
6900,1766400,4449.59,259.19
7000,1792000,4271.50,280.47
7100,1817600,4379.93,213.11
7200,1843200,4234.70,240.14
7300,1868800,4350.97,430.72
7400,1894400,4294.56,268.18
7500,1920000,4345.41,251.57
7600,1945600,4388.02,321.24
7700,1971200,4420.27,215.59
7800,1996800,4434.96,223.22
7900,2022400,4372.49,242.50
8000,2048000,4249.26,197.95
8100,2073600,4182.10,231.23
8200,2099200,4041.52,330.50
8300,2124800,4215.14,298.19
8400,2150400,4109.75,202.40
8500,2176000,4037.25,236.64
8600,2201600,4115.66,430.99
8700,2227200,3970.54,334.77
8800,2252800,3826.70,310.89
8900,2278400,3990.02,318.69
9000,2304000,4002.68,220.32
9100,2329600,4058.05,288.41
9200,2355200,3985.88,286.95
9300,2380800,4105.86,226.11
9400,2406400,3951.94,267.60
9500,2432000,3952.21,254.23
9600,2457600,3976.39,391.52
9700,2483200,3903.83,392.05
9800,2508800,3910.44,233.16
9900,2534400,3917.62,319.47
10000,2560000,3908.97,261.48
