iteration,timesteps,mean_cost,std_cost
100,25600,91463.20,4484.47
200,51200,52642.46,299.37
300,76800,5360.21,134.20
400,102400,6986.44,713.15
500,128000,7180.96,820.23
600,153600,5856.02,590.10
700,179200,7327.26,849.88
800,204800,5752.05,282.54
900,230400,5763.17,353.14
1000,256000,5787.45,503.23
1100,281600,5367.09,237.34
1200,307200,4875.33,172.33
1300,332800,5371.77,150.31
1400,358400,5027.25,193.24
1500,384000,4753.43,216.54
1600,409600,4842.75,172.31
1700,435200,4628.53,319.96
1800,460800,4520.60,216.68
1900,486400,4525.23,329.65
2000,512000,4953.99,217.88
2100,537600,4692.87,184.73
2200,563200,4591.12,285.84
2300,588800,4595.25,402.66
2400,614400,4540.50,254.85
2500,640000,4995.97,170.00
2600,665600,4646.29,212.42
2700,691200,4614.03,246.14
2800,716800,4578.82,341.35
2900,742400,4607.40,430.68
3000,768000,4470.38,319.86
3100,793600,4531.74,288.63
3200,819200,4525.01,243.09
3300,844800,4577.84,414.45
3400,870400,4847.81,493.68
3500,896000,4469.40,303.78
3600,921600,4631.83,414.05
3700,947200,4642.37,326.73
3800,972800,4550.72,331.93
3900,998400,4613.21,258.07
4000,1024000,4628.95,404.93
4100,1049600,4942.45,385.83
4200,1075200,4680.94,222.56
4300,1100800,4552.30,346.69
4400,1126400,4683.54,499.58
4500,1152000,4615.04,307.33
4600,1177600,5230.82,760.22
4700,1203200,4623.24,429.27
4800,1228800,4756.36,592.75
4900,1254400,4615.34,376.71
5000,1280000,4603.31,369.70
5100,1305600,4693.69,486.53
5200,1331200,5524.05,1249.58
5300,1356800,4786.47,740.69
5400,1382400,4562.99,286.47
5500,1408000,4729.04,267.75
5600,1433600,5056.17,813.21
5700,1459200,4618.61,304.24
5800,1484800,4761.60,538.27
5900,1510400,4592.35,329.23
6000,1536000,4849.67,571.92
6100,1561600,4644.99,330.58
6200,1587200,4666.05,506.62
6300,1612800,4614.37,566.45
6400,1638400,4582.66,446.87
6500,1664000,4601.74,415.41
6600,1689600,4518.98,376.52
6700,1715200,4606.42,515.78
6800,1740800,4648.14,434.65
6900,1766400,4575.29,222.88
7000,1792000,4579.52,290.20
7100,1817600,4578.98,369.54
7200,1843200,4545.69,282.99
7300,1868800,4530.26,290.28
7400,1894400,4658.74,204.84
7500,1920000,4472.03,245.07
7600,1945600,4420.96,326.37
7700,1971200,4591.32,193.34
7800,1996800,4387.84,209.17
7900,2022400,4686.96,659.41
8000,2048000,4612.04,571.84
8100,2073600,4368.62,291.06
8200,2099200,4390.92,317.83
8300,2124800,4384.28,384.72
8400,2150400,4321.31,223.68
8500,2176000,4382.93,269.48
8600,2201600,4277.32,418.36
8700,2227200,4294.77,478.75
8800,2252800,4233.03,375.26
8900,2278400,4263.52,249.48
9000,2304000,4118.81,287.53
9100,2329600,6369.45,180.06
9200,2355200,6018.15,152.13
9300,2380800,5232.02,184.36
9400,2406400,4515.59,272.05
9500,2432000,4184.64,239.76
9600,2457600,4216.39,232.51
9700,2483200,4191.78,233.12
9800,2508800,4063.98,341.31
9900,2534400,4064.03,278.09
10000,2560000,3976.46,349.51
