iteration,timesteps,mean_cost,std_cost
100,25600,482220.16,4053.75
200,51200,477334.30,4135.95
300,76800,488590.50,4785.48
400,102400,470123.85,5452.71
500,128000,462796.52,3932.09
600,153600,472524.79,5067.13
700,179200,494120.69,4165.72
800,204800,455017.63,5083.45
900,230400,456731.40,3747.53
1000,256000,411102.24,5957.67
1100,281600,433059.76,4955.96
1200,307200,427882.38,4610.31
1300,332800,434072.43,4078.53
1400,358400,429845.86,4688.68
1500,384000,395882.07,7352.23
1600,409600,405858.35,7718.72
1700,435200,419589.26,4549.00
1800,460800,427333.17,4687.77
1900,486400,457236.81,4433.56
2000,512000,455479.00,6194.15
2100,537600,429161.48,9785.94
2200,563200,414334.02,8478.36
2300,588800,430385.48,6941.59
2400,614400,425521.11,7318.30
2500,640000,407651.87,6940.16
2600,665600,411626.23,8381.83
2700,691200,417743.87,7687.09
2800,716800,452339.03,8838.25
2900,742400,459128.29,5151.01
3000,768000,433401.96,8339.81
3100,793600,411828.39,8296.84
3200,819200,407206.78,8972.94
3300,844800,415887.12,6413.48
3400,870400,426674.32,5865.31
3500,896000,419953.44,8327.57
3600,921600,440857.89,7081.10
3700,947200,434356.57,6536.20
3800,972800,425828.17,6879.33
3900,998400,434666.80,7307.07
4000,1024000,440688.36,6455.28
4100,1049600,442356.56,5749.13
4200,1075200,436939.70,7315.29
4300,1100800,433578.73,5500.59
4400,1126400,439801.90,6573.17
4500,1152000,441938.00,6724.40
4600,1177600,440138.52,6953.85
4700,1203200,441034.71,8963.11
4800,1228800,430461.56,6700.38
4900,1254400,426885.82,7531.39
5000,1280000,428174.45,8101.92
5100,1305600,427896.13,9302.47
5200,1331200,431896.34,11750.59
5300,1356800,436886.83,10358.48
5400,1382400,442218.96,8577.21
5500,1408000,446150.30,7843.68
5600,1433600,455928.87,7819.02
5700,1459200,464280.67,7813.10
5800,1484800,456876.70,8482.47
5900,1510400,452512.67,7869.46
6000,1536000,449435.85,7693.75
6100,1561600,451254.97,7039.52
6200,1587200,456078.07,5791.98
6300,1612800,446756.61,6841.90
6400,1638400,441897.38,6396.09
6500,1664000,447437.61,6525.69
6600,1689600,447602.07,6459.93
6700,1715200,438484.55,7438.82
6800,1740800,427275.74,7885.80
6900,1766400,427042.90,6814.37
7000,1792000,424413.11,5891.97
7100,1817600,428505.38,5952.09
7200,1843200,424818.86,6390.92
7300,1868800,426830.07,6597.80
7400,1894400,435417.38,5329.29
7500,1920000,432477.55,5655.88
7600,1945600,432879.16,4965.19
7700,1971200,428759.58,6202.20
7800,1996800,423984.44,6342.00
7900,2022400,427841.34,5592.34
8000,2048000,429307.53,6903.72
8100,2073600,420866.10,6580.70
8200,2099200,418170.64,7934.61
8300,2124800,417130.43,7126.17
8400,2150400,418018.18,5511.91
8500,2176000,415292.07,6786.61
8600,2201600,411515.96,6157.65
8700,2227200,420463.22,6106.61
8800,2252800,418003.79,6959.23
8900,2278400,423531.68,5757.36
9000,2304000,421053.73,5410.39
9100,2329600,422320.77,5973.41
9200,2355200,426336.72,7080.82
9300,2380800,420020.58,7461.85
9400,2406400,418577.53,7943.39
9500,2432000,422707.49,9217.84
9600,2457600,424038.41,8321.44
9700,2483200,425786.26,5376.34
9800,2508800,428992.67,4718.65
9900,2534400,432790.40,7341.14
10000,2560000,442090.56,7585.35
