iteration,timesteps,mean_cost,std_cost
100,25600,409322.06,3618.97
200,51200,393303.12,4310.18
300,76800,383183.91,3444.69
400,102400,320803.31,2571.62
500,128000,339849.32,3007.62
600,153600,350892.11,3990.09
700,179200,324043.18,3412.09
800,204800,322019.15,2189.17
900,230400,327529.70,2952.03
1000,256000,315650.03,2726.10
1100,281600,309052.04,3548.91
1200,307200,312444.27,3924.45
1300,332800,314841.82,3298.33
1400,358400,311691.91,2803.54
1500,384000,325107.09,3694.82
1600,409600,350150.00,3429.72
1700,435200,336347.65,3733.61
1800,460800,334577.72,3539.07
1900,486400,323897.42,3535.71
2000,512000,324932.47,3691.32
2100,537600,316988.26,3407.12
2200,563200,314926.22,4351.45
2300,588800,306454.56,4414.91
2400,614400,333102.03,4845.89
2500,640000,336097.21,4204.92
2600,665600,335012.62,4382.14
2700,691200,315550.28,4445.30
2800,716800,317741.88,4656.83
2900,742400,308137.29,3888.29
3000,768000,300319.86,3890.94
3100,793600,311425.12,4561.99
3200,819200,308129.05,4615.18
3300,844800,294705.21,5692.99
3400,870400,281979.16,7786.19
3500,896000,271739.31,11483.83
3600,921600,262895.41,2456.04
3700,947200,268031.94,3520.78
3800,972800,293040.78,6056.11
3900,998400,297862.14,3776.49
4000,1024000,292508.85,4262.32
4100,1049600,295247.03,4057.57
4200,1075200,294259.58,3794.02
4300,1100800,290458.60,4643.44
4400,1126400,280162.41,4341.20
4500,1152000,283001.34,4199.76
4600,1177600,277161.93,3640.08
4700,1203200,272765.13,3416.37
4800,1228800,281311.33,3340.87
4900,1254400,280978.62,6398.70
5000,1280000,287313.44,3691.39
5100,1305600,286628.03,3875.50
5200,1331200,289541.26,2991.34
5300,1356800,293816.45,3154.84
5400,1382400,286485.88,3224.50
5500,1408000,286618.22,3280.88
5600,1433600,286184.63,3241.37
5700,1459200,275692.76,3212.31
5800,1484800,249369.68,2401.97
5900,1510400,236416.19,2431.33
6000,1536000,222002.82,1525.27
6100,1561600,203145.16,1673.63
6200,1587200,179253.65,967.62
6300,1612800,155881.85,1251.90
6400,1638400,135765.88,1869.71
6500,1664000,121179.33,1724.47
6600,1689600,99538.02,1034.73
6700,1715200,86799.25,888.22
6800,1740800,71643.99,1253.52
6900,1766400,56227.52,688.90
7000,1792000,45554.96,252.05
7100,1817600,39718.10,172.01
7200,1843200,35803.84,190.71
7300,1868800,32532.96,192.31
7400,1894400,30223.18,198.86
7500,1920000,27851.75,234.52
7600,1945600,25246.16,213.70
7700,1971200,23503.75,202.35
7800,1996800,21393.25,147.73
7900,2022400,20084.15,205.93
8000,2048000,18379.74,260.06
8100,2073600,16431.00,320.12
8200,2099200,15050.70,401.75
8300,2124800,13409.06,499.60
8400,2150400,11531.44,575.41
8500,2176000,10838.26,503.89
8600,2201600,9052.00,675.99
8700,2227200,8451.55,302.31
8800,2252800,7034.93,178.06
8900,2278400,6772.02,182.78
9000,2304000,6142.41,339.52
9100,2329600,5818.34,252.10
9200,2355200,5956.65,447.40
9300,2380800,5401.04,326.18
9400,2406400,5925.41,294.48
9500,2432000,5781.63,306.73
9600,2457600,5257.17,376.97
9700,2483200,5470.27,276.86
9800,2508800,5221.85,503.44
9900,2534400,5391.49,447.86
10000,2560000,5182.50,445.69
