iteration,timesteps,mean_cost,std_cost
100,25600,36647.49,1145.78
200,51200,38455.44,546.22
300,76800,45615.36,1225.30
400,102400,25672.04,540.68
500,128000,19925.44,1182.68
600,153600,30724.50,1348.41
700,179200,34632.98,1142.36
800,204800,27306.26,1064.29
900,230400,40613.23,1042.52
1000,256000,45534.85,1079.68
1100,281600,32490.00,870.87
1200,307200,42022.63,1051.88
1300,332800,47590.02,1252.08
1400,358400,41845.05,841.55
1500,384000,44245.91,859.76
1600,409600,31762.49,1092.17
1700,435200,29628.82,1163.14
1800,460800,22279.27,868.65
1900,486400,14477.32,1086.04
2000,512000,12562.01,891.74
2100,537600,9398.92,1020.84
2200,563200,4284.34,748.18
2300,588800,3790.36,596.43
2400,614400,3679.11,592.08
2500,640000,3174.42,505.36
2600,665600,2751.15,548.47
2700,691200,2712.53,786.39
2800,716800,2480.60,727.84
2900,742400,2069.36,554.85
3000,768000,2137.60,650.61
3100,793600,1645.84,476.34
3200,819200,1964.57,587.54
3300,844800,1898.69,688.47
3400,870400,1843.05,378.54
3500,896000,1642.47,353.82
3600,921600,1756.95,518.57
3700,947200,1733.67,412.57
3800,972800,1407.47,346.62
3900,998400,1432.94,415.19
4000,1024000,1450.26,397.67
4100,1049600,1482.44,426.87
4200,1075200,1463.61,505.02
4300,1100800,1377.72,516.99
4400,1126400,1264.90,499.05
4500,1152000,1375.65,418.82
4600,1177600,1435.50,486.59
4700,1203200,1287.61,387.75
4800,1228800,1378.20,328.97
4900,1254400,1399.34,545.05
5000,1280000,1282.88,331.25
5100,1305600,1391.45,291.12
5200,1331200,1355.74,424.52
5300,1356800,1379.27,365.49
5400,1382400,1312.29,378.72
5500,1408000,1215.98,395.92
5600,1433600,1425.65,301.67
5700,1459200,1663.28,367.11
5800,1484800,1331.14,384.05
5900,1510400,1431.52,378.10
6000,1536000,1228.12,334.61
6100,1561600,1395.07,490.95
6200,1587200,1444.94,301.82
6300,1612800,1210.26,393.22
6400,1638400,1357.31,268.50
6500,1664000,1081.16,268.12
6600,1689600,1170.65,311.42
6700,1715200,1225.09,382.52
6800,1740800,1286.07,337.79
6900,1766400,1253.11,359.47
7000,1792000,1344.25,300.29
7100,1817600,1557.04,336.00
7200,1843200,1367.81,334.13
7300,1868800,1320.64,476.73
7400,1894400,1329.68,425.26
7500,1920000,1404.13,570.66
7600,1945600,1212.36,402.59
7700,1971200,1531.42,516.40
7800,1996800,1123.78,307.88
7900,2022400,1302.84,423.76
8000,2048000,1411.30,332.80
8100,2073600,1221.45,370.70
8200,2099200,1176.03,342.88
8300,2124800,1326.21,375.51
8400,2150400,1309.90,320.81
8500,2176000,1297.71,514.09
8600,2201600,1210.67,365.36
8700,2227200,1407.92,350.72
8800,2252800,1270.63,366.10
8900,2278400,1169.16,329.88
9000,2304000,1163.44,349.54
9100,2329600,1133.62,339.67
9200,2355200,1203.70,283.39
9300,2380800,1325.21,365.21
9400,2406400,1248.10,437.22
9500,2432000,1231.94,332.38
9600,2457600,1345.86,369.70
9700,2483200,1175.92,357.38
9800,2508800,1214.85,405.94
9900,2534400,1270.90,345.34
10000,2560000,1245.71,398.16
