iteration,timesteps,mean_cost,std_cost
100,25600,14282.58,977.84
200,51200,17926.69,1157.93
300,76800,42487.36,976.34
400,102400,24752.71,1321.29
500,128000,33431.74,1128.18
600,153600,24929.07,1028.10
700,179200,38874.10,1054.75
800,204800,23651.89,1135.84
900,230400,26333.71,1080.42
1000,256000,8475.42,673.09
1100,281600,4524.58,829.94
1200,307200,3024.90,1002.19
1300,332800,5507.91,800.09
1400,358400,3812.21,777.07
1500,384000,3647.84,701.89
1600,409600,3465.17,679.74
1700,435200,3708.89,563.29
1800,460800,2920.88,471.58
1900,486400,2903.03,724.46
2000,512000,2493.42,705.67
2100,537600,2031.56,522.49
2200,563200,1595.63,410.53
2300,588800,1788.51,382.26
2400,614400,1506.15,416.29
2500,640000,1407.97,402.99
2600,665600,1763.70,339.58
2700,691200,1680.45,370.78
2800,716800,1465.75,438.61
2900,742400,1716.85,426.21
3000,768000,1589.54,391.62
3100,793600,1728.87,469.14
3200,819200,1643.10,302.92
3300,844800,1182.94,411.93
3400,870400,1434.41,401.76
3500,896000,1390.44,309.57
3600,921600,1432.78,362.78
3700,947200,1299.73,320.80
3800,972800,1427.17,429.53
3900,998400,1352.46,328.03
4000,1024000,1213.92,380.56
4100,1049600,1269.67,422.44
4200,1075200,1346.53,401.65
4300,1100800,1400.61,365.56
4400,1126400,1438.34,398.98
4500,1152000,1217.79,431.20
4600,1177600,1405.51,293.06
4700,1203200,1708.79,353.45
4800,1228800,1301.34,351.39
4900,1254400,1304.42,351.29
5000,1280000,1229.01,364.56
5100,1305600,1117.77,369.73
5200,1331200,1201.75,324.04
5300,1356800,1272.69,327.98
5400,1382400,1318.65,377.09
5500,1408000,1306.74,316.59
5600,1433600,1294.24,411.36
5700,1459200,1220.99,292.71
5800,1484800,1510.91,420.73
5900,1510400,1182.91,310.81
6000,1536000,1169.56,307.69
6100,1561600,1239.09,250.36
6200,1587200,1262.10,387.98
6300,1612800,1305.13,518.59
6400,1638400,1329.31,300.10
6500,1664000,1490.82,344.94
6600,1689600,1366.77,388.51
6700,1715200,1307.29,316.54
6800,1740800,1548.41,419.85
6900,1766400,1309.57,386.28
7000,1792000,1239.93,289.71
7100,1817600,1581.77,331.96
7200,1843200,1308.94,306.61
7300,1868800,1640.58,547.91
7400,1894400,1337.50,336.50
7500,1920000,1159.49,295.04
7600,1945600,1245.74,338.48
7700,1971200,1256.20,338.75
7800,1996800,1248.56,291.93
7900,2022400,1498.09,306.85
8000,2048000,1510.08,282.88
8100,2073600,1182.74,269.32
8200,2099200,1125.72,245.11
8300,2124800,1197.89,369.14
8400,2150400,1740.73,646.68
8500,2176000,1130.91,285.47
8600,2201600,1174.85,317.70
8700,2227200,1252.90,291.54
8800,2252800,1373.03,428.68
8900,2278400,1163.68,265.53
9000,2304000,1165.58,255.62
9100,2329600,1519.73,604.38
9200,2355200,1238.32,229.21
9300,2380800,1145.69,285.78
9400,2406400,1256.90,239.55
9500,2432000,1275.02,310.09
9600,2457600,1347.65,261.97
9700,2483200,1362.24,261.33
9800,2508800,1315.95,328.94
9900,2534400,1160.94,230.26
10000,2560000,1163.54,260.82
