iteration,timesteps,mean_cost,std_cost
100,25600,39457.62,990.44
200,51200,13662.61,855.05
300,76800,29523.60,1034.03
400,102400,28753.34,1236.42
500,128000,10590.47,471.21
600,153600,26108.37,985.55
700,179200,29958.78,1341.84
800,204800,20897.74,1309.29
900,230400,28290.11,1291.42
1000,256000,23651.82,1453.93
1100,281600,18374.77,1123.73
1200,307200,16145.46,1096.62
1300,332800,15916.85,1119.60
1400,358400,12364.78,794.82
1500,384000,13047.03,1010.47
1600,409600,15285.35,670.59
1700,435200,27512.29,1546.10
1800,460800,24479.69,1607.34
1900,486400,16990.81,1372.37
2000,512000,14304.43,1505.12
2100,537600,13340.07,1864.38
2200,563200,18798.25,1486.32
2300,588800,19257.90,1726.73
2400,614400,21184.49,2018.80
2500,640000,17499.85,1058.21
2600,665600,15993.06,880.72
2700,691200,18518.54,1190.12
2800,716800,18958.53,864.56
2900,742400,17709.57,1017.03
3000,768000,16746.19,1219.94
3100,793600,15717.18,1483.41
3200,819200,14144.04,726.23
3300,844800,14029.04,729.06
3400,870400,15778.36,1027.46
3500,896000,18559.61,1378.62
3600,921600,24352.34,1535.64
3700,947200,22081.15,1031.94
3800,972800,21382.78,1375.70
3900,998400,18393.35,1483.23
4000,1024000,19929.76,1349.83
4100,1049600,24309.04,1559.08
4200,1075200,29861.89,1769.80
4300,1100800,32865.14,1608.44
4400,1126400,35113.52,1573.07
4500,1152000,34587.72,1383.60
4600,1177600,32157.44,1832.50
4700,1203200,29127.54,1290.50
4800,1228800,29550.94,1383.44
4900,1254400,29737.12,1340.67
5000,1280000,25501.40,1217.95
5100,1305600,25894.85,1371.71
5200,1331200,28357.01,1297.42
5300,1356800,27766.09,1232.85
5400,1382400,28388.15,1417.96
5500,1408000,27092.19,1212.53
5600,1433600,28719.53,1439.48
5700,1459200,28933.49,1043.73
5800,1484800,26989.55,1108.63
5900,1510400,30022.63,1194.90
6000,1536000,27536.96,1090.23
6100,1561600,26101.50,1348.17
6200,1587200,24094.39,1142.59
6300,1612800,24232.49,1237.58
6400,1638400,24431.41,1353.43
6500,1664000,24947.04,1169.95
6600,1689600,24615.08,1208.66
6700,1715200,23124.59,1239.96
6800,1740800,22954.35,1168.93
6900,1766400,23099.47,1364.26
7000,1792000,26016.68,1391.81
7100,1817600,26101.37,1081.35
7200,1843200,26831.08,1296.66
7300,1868800,25673.16,1205.87
7400,1894400,24416.18,1445.19
7500,1920000,24511.45,1277.24
7600,1945600,24017.25,1304.51
7700,1971200,23502.62,1525.16
7800,1996800,22685.84,1232.48
7900,2022400,22902.86,1396.24
8000,2048000,21166.80,1274.05
8100,2073600,20765.29,1374.06
8200,2099200,18973.08,1249.81
8300,2124800,19202.44,1069.59
8400,2150400,20317.43,1049.88
8500,2176000,20457.36,1129.32
8600,2201600,19233.70,902.90
8700,2227200,19885.28,1230.73
8800,2252800,19719.25,985.08
8900,2278400,18442.50,1036.67
9000,2304000,18875.83,1004.41
9100,2329600,18584.70,915.75
9200,2355200,19087.87,1033.75
9300,2380800,19071.16,976.77
9400,2406400,19251.44,1116.38
9500,2432000,20657.39,1082.65
9600,2457600,21439.80,931.41
9700,2483200,21304.71,1035.18
9800,2508800,21192.30,751.88
9900,2534400,21890.28,1013.21
10000,2560000,21901.77,953.37
