iteration,timesteps,mean_cost,std_cost
100,25600,8008.73,688.40
200,51200,26445.24,1496.79
300,76800,17907.56,1377.74
400,102400,4055.78,428.50
500,128000,5395.68,964.11
600,153600,5800.29,858.29
700,179200,4331.48,920.52
800,204800,5128.64,837.17
900,230400,4092.98,815.14
1000,256000,4174.15,711.07
1100,281600,2520.61,708.33
1200,307200,3002.00,741.32
1300,332800,2899.99,586.60
1400,358400,3004.97,570.62
1500,384000,2116.74,581.02
1600,409600,1941.13,542.66
1700,435200,2288.11,599.01
1800,460800,1853.25,545.71
1900,486400,1783.35,555.33
2000,512000,1882.83,629.97
2100,537600,1690.68,398.17
2200,563200,1713.30,480.55
2300,588800,1576.02,430.74
2400,614400,1557.83,415.45
2500,640000,1464.98,500.42
2600,665600,1460.47,421.25
2700,691200,1374.89,468.58
2800,716800,1226.37,308.66
2900,742400,1271.69,344.80
3000,768000,1167.61,287.42
3100,793600,1376.20,361.66
3200,819200,1374.77,359.85
3300,844800,1220.60,345.87
3400,870400,1197.94,284.90
3500,896000,1079.48,353.96
3600,921600,1166.60,381.30
3700,947200,1233.84,269.92
3800,972800,1186.64,453.01
3900,998400,1508.94,554.62
4000,1024000,1389.13,308.07
4100,1049600,1304.38,439.52
4200,1075200,1252.31,281.35
4300,1100800,1261.96,270.34
4400,1126400,1283.14,302.30
4500,1152000,1164.53,390.38
4600,1177600,1246.23,371.24
4700,1203200,1307.40,349.12
4800,1228800,1149.80,356.79
4900,1254400,1204.07,285.75
5000,1280000,1483.33,378.29
5100,1305600,1154.08,298.54
5200,1331200,1365.85,271.46
5300,1356800,1303.72,358.91
5400,1382400,1208.61,244.29
5500,1408000,1232.42,294.12
5600,1433600,1435.23,399.61
5700,1459200,1210.88,364.99
5800,1484800,1265.43,330.40
5900,1510400,1316.62,268.12
6000,1536000,1349.45,297.77
6100,1561600,1171.04,256.84
6200,1587200,1221.59,381.03
6300,1612800,1231.34,239.58
6400,1638400,1304.94,351.55
6500,1664000,1047.49,204.21
6600,1689600,1144.60,278.76
6700,1715200,1145.72,323.13
6800,1740800,1404.80,364.48
6900,1766400,1125.68,243.17
7000,1792000,1252.36,264.39
7100,1817600,1144.40,250.37
7200,1843200,1166.27,308.65
7300,1868800,1246.89,284.32
7400,1894400,1320.11,362.89
7500,1920000,9476.97,534.39
7600,1945600,6304.87,443.92
7700,1971200,5130.04,515.13
7800,1996800,4165.24,544.18
7900,2022400,3639.84,642.88
8000,2048000,2597.37,601.27
8100,2073600,1912.69,505.40
8200,2099200,1461.38,446.09
8300,2124800,1453.00,345.81
8400,2150400,1285.03,308.95
8500,2176000,1408.93,317.76
8600,2201600,1277.68,308.88
8700,2227200,1316.52,446.11
8800,2252800,1197.39,363.97
8900,2278400,1164.09,275.53
9000,2304000,1145.18,287.74
9100,2329600,1257.47,328.04
9200,2355200,1322.95,331.94
9300,2380800,1270.12,467.30
9400,2406400,1352.96,329.35
9500,2432000,1213.52,272.62
9600,2457600,1144.18,268.36
9700,2483200,1340.46,324.21
9800,2508800,1327.43,388.93
9900,2534400,1250.70,376.52
10000,2560000,1153.89,365.21
