iteration,timesteps,mean_cost,std_cost
100,25600,42429.04,967.64
200,51200,33257.07,1062.93
300,76800,41782.20,1007.83
400,102400,39900.22,949.86
500,128000,43556.27,957.39
600,153600,44921.01,897.11
700,179200,47289.28,1068.60
800,204800,44236.14,1048.11
900,230400,45183.19,1448.98
1000,256000,37700.41,980.68
1100,281600,44524.73,1351.04
1200,307200,38516.06,1493.58
1300,332800,28983.49,650.24
1400,358400,23916.28,978.70
1500,384000,30471.78,905.99
1600,409600,30679.58,1114.05
1700,435200,34972.09,952.66
1800,460800,32024.78,769.47
1900,486400,36386.48,872.46
2000,512000,48975.81,1398.33
2100,537600,66260.32,967.43
2200,563200,65254.52,1436.31
2300,588800,49375.23,1324.98
2400,614400,54146.10,1301.42
2500,640000,35015.12,1431.87
2600,665600,24477.74,974.73
2700,691200,44797.63,2577.94
2800,716800,45790.89,1247.57
2900,742400,51225.28,1470.75
3000,768000,55605.48,1115.60
3100,793600,56657.66,1271.74
3200,819200,55860.63,1230.58
3300,844800,53163.84,1132.43
3400,870400,61288.69,1277.71
3500,896000,58479.07,1217.60
3600,921600,52108.76,1210.19
3700,947200,47747.77,1194.36
3800,972800,49736.07,1425.20
3900,998400,45650.27,1186.13
4000,1024000,50929.99,1214.64
4100,1049600,48344.04,1335.72
4200,1075200,49685.59,1504.41
4300,1100800,51571.61,1246.12
4400,1126400,53563.12,1353.40
4500,1152000,54445.81,1214.62
4600,1177600,53317.19,1411.80
4700,1203200,52325.25,1413.17
4800,1228800,51485.73,1564.25
4900,1254400,52163.17,1570.75
5000,1280000,49501.32,1509.37
5100,1305600,51506.57,1250.35
5200,1331200,52877.80,1336.50
5300,1356800,55658.80,1231.60
5400,1382400,55953.28,1444.68
5500,1408000,57537.62,1326.86
5600,1433600,56971.50,1163.83
5700,1459200,53899.83,1287.32
5800,1484800,53843.14,1305.75
5900,1510400,54144.17,1151.95
6000,1536000,51928.06,1280.84
6100,1561600,56242.52,1043.24
6200,1587200,54978.43,1202.47
6300,1612800,56133.01,1364.56
6400,1638400,59199.80,1336.88
6500,1664000,60547.75,1175.35
6600,1689600,61424.93,1330.10
6700,1715200,60983.04,1189.55
6800,1740800,60276.94,1192.76
6900,1766400,62025.90,1210.11
7000,1792000,62840.44,1240.46
7100,1817600,62509.43,1046.19
7200,1843200,61942.55,1246.98
7300,1868800,61258.01,1176.36
7400,1894400,64305.36,1151.44
7500,1920000,65092.12,1187.82
7600,1945600,65375.37,1131.66
7700,1971200,65746.34,1115.07
7800,1996800,65824.25,1055.44
7900,2022400,66769.60,1048.53
8000,2048000,66799.71,1162.18
8100,2073600,65911.77,1207.41
8200,2099200,66257.71,998.65
8300,2124800,65778.75,1056.59
8400,2150400,65344.63,1209.30
8500,2176000,65180.43,1223.35
8600,2201600,65253.14,1177.56
8700,2227200,65382.10,1186.74
8800,2252800,64937.78,1304.75
8900,2278400,64341.76,1054.17
9000,2304000,63891.91,1171.76
9100,2329600,61569.18,1291.50
9200,2355200,61324.04,1031.56
9300,2380800,60202.44,1128.29
9400,2406400,59772.25,1092.98
9500,2432000,60507.72,1157.24
9600,2457600,61509.99,1053.70
9700,2483200,61143.75,1015.57
9800,2508800,60558.01,1291.47
9900,2534400,60554.76,1193.54
10000,2560000,60489.12,1263.24
