iteration,timesteps,mean_cost,std_cost
100,25600,81131.38,1038.51
200,51200,30086.05,931.23
300,76800,23641.50,1642.28
400,102400,20179.34,995.46
500,128000,21587.60,1337.64
600,153600,12910.97,859.09
700,179200,15264.57,1285.10
800,204800,18206.06,1150.48
900,230400,39474.70,2011.99
1000,256000,44279.53,1248.36
1100,281600,48269.68,1611.56
1200,307200,38082.90,1152.28
1300,332800,45841.81,1140.38
1400,358400,46754.43,982.76
1500,384000,47161.55,987.00
1600,409600,54405.67,1032.09
1700,435200,52066.37,1107.16
1800,460800,45096.96,1225.71
1900,486400,55114.22,1332.92
2000,512000,48041.80,1389.53
2100,537600,35921.40,1211.10
2200,563200,44974.78,1139.34
2300,588800,48429.39,1131.01
2400,614400,47236.56,1150.72
2500,640000,48053.31,1078.47
2600,665600,50296.42,1059.15
2700,691200,53189.80,1042.20
2800,716800,47497.28,1025.24
2900,742400,43801.42,1161.38
3000,768000,35765.28,908.00
3100,793600,39936.50,1778.91
3200,819200,35394.60,1496.73
3300,844800,33540.41,1531.32
3400,870400,43563.75,1402.54
3500,896000,42675.58,1476.32
3600,921600,48149.70,1135.87
3700,947200,45513.43,1096.14
3800,972800,43839.29,1393.56
3900,998400,36705.14,1270.82
4000,1024000,35230.04,1206.70
4100,1049600,31333.83,1097.46
4200,1075200,36363.69,1522.19
4300,1100800,35147.89,1367.29
4400,1126400,36072.79,1191.19
4500,1152000,35030.46,1174.78
4600,1177600,34751.90,1371.16
4700,1203200,33720.60,1335.03
4800,1228800,36663.76,1155.15
4900,1254400,40512.82,1172.69
5000,1280000,38069.72,1233.19
5100,1305600,34792.40,1515.70
5200,1331200,33150.12,1261.40
5300,1356800,32752.57,1452.68
5400,1382400,32115.56,1515.52
5500,1408000,32441.11,1602.55
5600,1433600,30438.38,1515.14
5700,1459200,34972.92,1837.84
5800,1484800,33798.52,1771.65
5900,1510400,38279.01,1279.13
6000,1536000,38691.99,1184.25
6100,1561600,38667.52,1179.56
6200,1587200,37639.57,1031.74
6300,1612800,38689.67,1339.51
6400,1638400,36784.93,1094.04
6500,1664000,33964.83,1399.96
6600,1689600,33053.38,1353.15
6700,1715200,37685.28,1379.29
6800,1740800,38189.39,1280.95
6900,1766400,36027.64,1075.83
7000,1792000,39005.29,1244.41
7100,1817600,36309.34,1082.15
7200,1843200,35761.12,1182.77
7300,1868800,36803.55,1178.58
7400,1894400,37891.46,1159.57
7500,1920000,39190.28,1088.15
7600,1945600,38778.13,1038.77
7700,1971200,39472.50,969.82
7800,1996800,40120.66,1248.67
7900,2022400,38953.65,1084.19
8000,2048000,40330.51,1186.21
8100,2073600,40445.83,1125.54
8200,2099200,40876.65,1302.46
8300,2124800,39475.10,1087.03
8400,2150400,39450.06,1106.10
8500,2176000,37935.85,1074.71
8600,2201600,37608.05,1078.55
8700,2227200,36396.21,950.68
8800,2252800,35439.02,1178.16
8900,2278400,30851.28,1203.71
9000,2304000,29770.58,1013.58
9100,2329600,27756.90,1002.28
9200,2355200,29096.56,1185.93
9300,2380800,27825.75,1053.17
9400,2406400,32936.74,1180.29
9500,2432000,29677.62,1046.24
9600,2457600,30242.16,1200.53
9700,2483200,27699.24,1023.02
9800,2508800,26392.75,986.27
9900,2534400,31123.45,1463.39
10000,2560000,29850.22,1167.47
