iteration,timesteps,mean_cost,std_cost
100,25600,53701.10,872.56
200,51200,70957.82,999.76
300,76800,50360.86,756.21
400,102400,60645.62,352.18
500,128000,55502.52,409.05
600,153600,52949.77,596.59
700,179200,86486.22,977.25
800,204800,69912.95,995.84
900,230400,60858.52,978.99
1000,256000,49910.23,943.22
1100,281600,44777.45,1155.40
1200,307200,41816.33,1124.91
1300,332800,49519.57,938.98
1400,358400,51141.62,868.15
1500,384000,50296.60,920.68
1600,409600,42425.19,958.18
1700,435200,42809.77,1123.88
1800,460800,43590.62,1298.45
1900,486400,44285.32,1151.65
2000,512000,41096.44,1086.25
2100,537600,34771.23,1119.97
2200,563200,30801.63,1046.79
2300,588800,23370.44,1244.01
2400,614400,22671.07,772.30
2500,640000,20664.19,733.04
2600,665600,18500.43,603.79
2700,691200,17962.99,1233.07
2800,716800,11860.61,1049.20
2900,742400,7281.86,1116.17
3000,768000,5622.47,1205.41
3100,793600,6027.00,1158.20
3200,819200,3183.60,938.11
3300,844800,4062.15,1173.72
3400,870400,4011.82,959.01
3500,896000,3735.51,1076.03
3600,921600,2772.23,821.29
3700,947200,3572.41,969.62
3800,972800,2876.46,922.43
3900,998400,2804.59,992.63
4000,1024000,2912.44,852.07
4100,1049600,2206.60,834.75
4200,1075200,2410.55,812.21
4300,1100800,2278.49,670.49
4400,1126400,1921.60,629.49
4500,1152000,2264.94,792.45
4600,1177600,1977.88,672.74
4700,1203200,1932.56,619.19
4800,1228800,1566.79,682.85
4900,1254400,2052.21,620.03
5000,1280000,1650.48,562.77
5100,1305600,2004.75,727.91
5200,1331200,1904.94,709.04
5300,1356800,1628.54,510.37
5400,1382400,1442.17,446.25
5500,1408000,1481.70,516.78
5600,1433600,1953.94,751.41
5700,1459200,1587.97,496.16
5800,1484800,1867.18,716.29
5900,1510400,1657.93,572.71
6000,1536000,1249.64,393.84
6100,1561600,1257.24,369.94
6200,1587200,1459.98,434.23
6300,1612800,1612.95,498.35
6400,1638400,1525.46,483.28
6500,1664000,1503.19,622.35
6600,1689600,1549.76,490.97
6700,1715200,1404.88,472.00
6800,1740800,1275.56,367.66
6900,1766400,1409.83,484.12
7000,1792000,1420.16,495.56
7100,1817600,1389.76,516.99
7200,1843200,1533.00,477.72
7300,1868800,1465.89,411.60
7400,1894400,1307.81,317.22
7500,1920000,1209.30,352.89
7600,1945600,1358.18,505.91
7700,1971200,1443.86,504.97
7800,1996800,1477.21,493.92
7900,2022400,1357.08,408.70
8000,2048000,1486.55,366.34
8100,2073600,1344.63,432.58
8200,2099200,1420.45,383.06
8300,2124800,1246.83,404.60
8400,2150400,1180.79,404.18
8500,2176000,1389.89,495.71
8600,2201600,1548.82,501.74
8700,2227200,1305.19,305.43
8800,2252800,1237.05,394.02
8900,2278400,1578.55,658.21
9000,2304000,1649.48,566.11
9100,2329600,1643.78,499.88
9200,2355200,2024.89,638.15
9300,2380800,1557.27,623.87
9400,2406400,1389.83,430.42
9500,2432000,1466.05,519.48
9600,2457600,1442.08,446.64
9700,2483200,1367.22,440.42
9800,2508800,1430.00,580.59
9900,2534400,1235.35,460.23
10000,2560000,1221.59,356.58
